primary_label,positives,negatives,raw_auc,baseline_auc,probe_auc,baseline_delta_vs_raw,probe_delta_vs_base
1161364,0,708,,,,,
116570,13,695,0.5,0.9449363586054234,0.9710016602102933,0.44493635860542335,0.026065301604869973
1176823,0,708,,,,,
1491113,79,629,0.7624720774385704,0.7946911915638647,0.7599766557324265,0.032219114125294324,-0.03471453583143824
1595929,0,708,,,,,
209233,0,708,,,,,
22930,0,708,,,,,
22956,0,708,,,,,
22961,36,672,0.7214781746031746,0.3823578042328043,0.6461226851851851,-0.33912037037037035,0.2637648809523808
22967,155,553,0.8507029108090766,0.7400104999125007,0.8439129673919383,-0.11069241089657589,0.10390246747943765
22973,212,496,0.9033018867924528,0.9136963633597079,0.9300441265976871,0.010394476567255118,0.01634776323797915
22983,0,708,,,,,
22985,0,708,,,,,
23150,0,708,,,,,
23154,0,708,,,,,
23158,175,533,0.9265076387027606,0.9025033503082284,0.9665505226480836,-0.02400428839453228,0.06404717233985524
23176,0,708,,,,,
23724,0,708,,,,,
24279,173,535,0.9571714115931068,0.9581978283182973,0.9180163146237371,0.0010264167251904377,-0.040181513694560134
24285,0,708,,,,,
24287,0,708,,,,,
24321,172,536,0.6358415046858729,0.7865649947934744,0.9449192988545645,0.15072349010760155,0.15835430406109008
244024,0,708,,,,,
25073,12,696,0.9475574712643677,0.8457854406130267,0.8706896551724138,-0.101772030651341,0.024904214559387072
25092,24,684,0.5558601364522417,0.4658869395711501,0.49366471734892786,-0.08997319688109162,0.027777777777777735
25214,0,708,,,,,
326272,23,685,0.792002538876547,0.9815931450333227,0.9822278641701048,0.1895906061567757,0.000634719136782036
41970,0,708,,,,,
43435,12,696,1.0,1.0,1.0,0.0,0.0
47144,15,693,0.9214045214045214,0.8305916305916305,0.8586820586820587,-0.0908128908128909,0.028090428090428166
47158son01,23,685,0.5,0.7185972707077118,0.47654712789590603,0.21859727070771184,-0.2420501428118058
47158son02,7,701,0.5,0.4144079885877318,0.4144079885877318,-0.08559201141226819,0.0
47158son03,33,675,0.5,0.5969696969696969,0.3837037037037037,0.09696969696969693,-0.21326599326599321
