primary_label,auc_all,positive_rows_all,negative_rows_all,scored,mean_prob_all,auc_soundscape,positive_rows_soundscape,negative_rows_soundscape,mean_prob_soundscape,scored_soundscape,scientific_name,class_name,is_texture_taxon,auc_gap_sound_minus_all
bunibi1,0.9369103444792934,212,35866,True,0.005149800330400467,0.6571969696969697,1,528,0.0017682792386040092,True,Theristicus caudatus,Aves,False,-0.2797133747823237
burowl,0.9753753449439911,239,35839,True,0.007327591069042683,,0,529,0.0017165755853056908,False,Athene cunicularia,Aves,False,
camfli1,0.9388677753910148,137,35941,True,0.0026765221264213324,,0,529,0.0005314121954143047,False,Colaptes campestris,Aves,False,
chacha1,0.9273813879702827,176,35902,True,0.003281346056610346,0.752757901013715,13,516,0.03896293789148331,True,Ortalis canicollis,Aves,False,-0.1746234869565677
chbmoc1,0.946343100228459,284,35794,True,0.008581958711147308,,0,529,0.0013258174294605851,False,Mimus saturninus,Aves,False,
chobla1,0.9227003229703256,394,35684,True,0.012188976630568504,,0,529,0.001995701342821121,False,Gnorimopsar chopi,Aves,False,
chvcon1,0.9450966361117423,146,35932,True,0.004454235080629587,0.968095238095238,4,525,0.011698726564645767,True,Conirostrum speciosum,Aves,False,0.02299860198349568
cibspi1,0.9855660212803069,42,36036,True,0.0013103317469358444,,0,529,0.0002562107692938298,False,Synallaxis hypospodia,Aves,False,
coffal1,0.9690008328379879,513,35565,True,0.013011503964662552,,0,529,0.004002878908067942,False,Micrastur semitorquatus,Aves,False,
compau,0.9835477982982209,569,35509,True,0.01348180416971445,0.874078624078624,11,518,0.01186093594878912,True,Nyctidromus albicollis,Aves,False,-0.1094691742195969
compot1,0.978441416108792,393,35685,True,0.012841369025409222,0.9620493358633777,2,527,0.019354380667209625,True,Nyctibius griseus,Aves,False,-0.016392080245414276
crbthr1,0.9259828038640713,334,35744,True,0.007897953502833843,,0,529,0.0011938133975490928,False,Turdus amaurochalinus,Aves,False,
crebec1,0.9679708522849046,84,35994,True,0.0029834911692887545,,0,529,0.0009673913009464741,False,Pachyramphus validus,Aves,False,
dwatin1,0.9764731418786515,23,36055,True,0.0003844168677460402,,0,529,0.00011388749408069998,False,Taoniscus nanus,Aves,False,
epaori4,0.9067786950561931,217,35861,True,0.004086840897798538,,0,529,0.00041364316712133586,False,Icterus pyrrhopterus,Aves,False,
eulfly1,0.9670465712119755,387,35691,True,0.011576815508306026,,0,529,0.002203653333708644,False,Lathrotriccus euleri,Aves,False,
fabwre1,0.9314125739288428,120,35958,True,0.0039513870142400265,,0,529,0.0005037896917201579,False,Cantorchilus guarayanus,Aves,False,
fepowl,0.949038817483135,600,35478,True,0.016149522736668587,,0,529,0.014782263897359371,False,Glaucidium brasilianum,Aves,False,
ficman1,0.9846725582762957,68,36010,True,0.0022445691283792257,,0,529,0.0004925375105813146,False,Machaeropterus pyrocephalus,Aves,False,
flawar1,0.93681397078033,285,35793,True,0.007528853602707386,,0,529,0.003162744687870145,False,Myiothlypis flaveola,Aves,False,
fotfly,0.9357503763540893,92,35986,True,0.0024790619499981403,,0,529,0.0005153967067599297,False,Tyrannus savana,Aves,False,
fusfly1,0.9440530521856831,277,35801,True,0.01121140830218792,0.9185678073510773,3,526,0.0054640499874949455,True,Cnemotriccus fuscatus,Aves,False,-0.02548524483460579
gilhum1,0.926381052146513,139,35939,True,0.004451327491551638,,0,529,0.0011674559209495783,False,Hylocharis chrysura,Aves,False,
giwrai1,0.9377380741965209,121,35957,True,0.002091679722070694,,0,529,0.0007470074342563748,False,Aramides ypecaha,Aves,False,
glteme1,0.9278582478136816,137,35941,True,0.004825089126825333,,0,529,0.0016187860164791346,False,Chionomesa fimbriata,Aves,False,
grasal3,0.933235387858872,513,35565,True,0.01161876693367958,,0,529,0.0031368129421025515,False,Saltator coerulescens,Aves,False,
greani1,0.9431001589333532,144,35934,True,0.0043154554441571236,,0,529,0.002074549440294504,False,Crotophaga major,Aves,False,
greant1,0.9268301840744182,567,35511,True,0.014107096008956432,,0,529,0.0033727993723005056,False,Taraba major,Aves,False,
greela,0.9592258225830751,246,35832,True,0.006176419090479612,,0,529,0.0015445969766005874,False,Myiopagis viridicata,Aves,False,
grekis,0.8410418496967561,1107,34971,True,0.03171006962656975,0.9962049335863378,2,527,0.015044005587697029,True,Pitangus sulphuratus,Aves,False,0.15516308388958167
grepot1,0.9888524104472776,75,36003,True,0.002189197577536106,,0,529,0.0008245205972343683,False,Nyctibius grandis,Aves,False,
gretho2,0.9451673802086238,224,35854,True,0.005018960684537888,,0,529,0.0013508052797988057,False,Phacellodomus ruber,Aves,False,
greyel,0.9916687262394639,477,35601,True,0.014686182141304016,,0,529,0.0015628149267286062,False,Tringa melanoleuca,Aves,False,
grfdov1,0.9647736463593242,276,35802,True,0.010495473630726337,,0,529,0.004445844795554876,False,Leptotila rufaxilla,Aves,False,
grhtan1,0.9680899819627684,98,35980,True,0.002341070445254445,,0,529,0.0005464173154905438,False,Eucometis penicillata,Aves,False,
gycwor1,0.9719440402299846,449,35629,True,0.012057698331773281,,0,529,0.003525317180901766,False,Aramides cajaneus,Aves,False,
horscr1,0.9685704147204106,117,35961,True,0.002888075076043606,,0,529,0.0003551501431502402,False,Anhima cornuta,Aves,False,
houspa,0.961965268109472,565,35513,True,0.013513178564608097,,0,529,0.0013586863642558455,False,Passer domesticus,Aves,False,
hyamac1,0.9766828985292575,72,36006,True,0.002057967009022832,0.8863636363636365,1,528,0.0030765135306864977,True,Anodorhynchus hyacinthinus,Aves,False,-0.09031926216562103
larela1,0.9587880728325631,160,35918,True,0.004096945747733116,,0,529,0.0010523321107029915,False,Elaenia spectabilis,Aves,False,
lesela1,0.9495444629359976,131,35947,True,0.0030609630048274994,,0,529,0.0007508935523219407,False,Elaenia chiriquensis,Aves,False,
lesgrf1,0.9872484835034769,30,36048,True,0.0003932233667001128,,0,529,0.0002298706240253523,False,Emberizoides ypiranganus,Aves,False,
limpki,0.9737506435624034,423,35655,True,0.010186168365180492,0.946394686907021,2,527,0.0024431829806417227,True,Aramus guarauna,Aves,False,-0.027355956655382374
linwoo1,0.9490753478065723,377,35701,True,0.011690039187669754,,0,529,0.0030608996748924255,False,Dryocopus lineatus,Aves,False,
litcuc2,0.957409043108222,109,35969,True,0.003380030859261751,,0,529,0.001091164187528193,False,Coccycua minuta,Aves,False,
litnig1,0.9722090841363022,135,35943,True,0.0040189302526414394,0.72008547008547,9,520,0.01923252083361149,True,Setopagis parvula,Aves,False,-0.2521236140508323
mabpar,0.9539964383684196,115,35963,True,0.0038574221543967724,,0,529,0.0006456755800172687,False,Pyrrhura frontalis,Aves,False,
magant1,0.9874870014245014,78,36000,True,0.0024812992196530104,0.8577313054499366,3,526,0.004124966450035572,True,Cercomacra melanaria,Aves,False,-0.12975569597456482
magtan2,0.9510143477255502,77,36001,True,0.0015718352515250444,,0,529,0.0002161729207728058,False,Cissopis leverianus,Aves,False,
masgna1,0.9216440774783196,315,35763,True,0.007934446446597576,,0,529,0.001047008205205202,False,Polioptila dumicola,Aves,False,
nacnig1,0.956308596045679,21,36057,True,0.0002832990139722824,0.5341555977229602,2,527,0.0008834219770506024,True,Chordeiles nacunda,Aves,False,-0.4221529983227188
ocecra1,0.9982179334313099,15,36063,True,0.0001955936022568494,,0,529,0.00018812435155268759,False,Rufirallus schomburgkii,Aves,False,
oliwoo1,0.9523277497283056,455,35623,True,0.009561290964484215,,0,529,0.0028185059782117605,False,Sittasomus griseicapillus,Aves,False,
orbtro3,0.9671614703743747,89,35989,True,0.005061916541308165,,0,529,0.0016790662193670869,False,Icterus croconotus,Aves,False,
orwpar,0.93173057008401,247,35831,True,0.005332164000719786,0.9359949302915083,3,526,0.004400503356009722,True,Amazona amazonica,Aves,False,0.004264360207498319
osprey,0.9835717998351841,495,35583,True,0.014932679943740368,,0,529,0.001698208972811699,False,Pandion haliaetus,Aves,False,
pabspi1,0.98245883022375,326,35752,True,0.00809441227465868,,0,529,0.0010493730660527945,False,Synallaxis albescens,Aves,False,
palhor3,0.8981584085869211,86,35992,True,0.0015434803208336234,,0,529,0.000597121543250978,False,Furnarius leucopus,Aves,False,
paltan1,0.9268472507628122,303,35775,True,0.0087761664763093,,0,529,0.0009433344821445644,False,Thraupis palmarum,Aves,False,
phecuc1,0.9801121451202177,154,35924,True,0.006342167500406504,,0,529,0.003268764354288578,False,Dromococcyx phasianellus,Aves,False,
picpig2,0.9043023509829043,334,35744,True,0.009404892101883888,,0,529,0.0058682565577328205,False,Patagioenas picazuro,Aves,False,
pirfly1,0.96263189629183,428,35650,True,0.012528948485851288,,0,529,0.0016389531083405018,False,Legatus leucophaius,Aves,False,
plasla1,0.929011894146278,192,35886,True,0.0046569048427045345,,0,529,0.0008461838588118553,False,Thamnophilus pelzelni,Aves,False,
platyr1,0.9535559904200013,38,36040,True,0.0008980350103229284,,0,529,0.00015856418758630753,False,Inezia inornata,Aves,False,
plcjay1,0.9313902092272672,205,35873,True,0.004965717904269695,1.0,1,528,0.00223161606118083,True,Cyanocorax chrysops,Aves,False,0.06860979077273277
pluibi1,0.9515107280192254,95,35983,True,0.0027305216062813997,,0,529,0.0011682129697874188,False,Theristicus caerulescens,Aves,False,
purjay1,0.954347758482661,101,35977,True,0.00283662392757833,0.9413814955640051,3,526,0.009155713021755219,True,Cyanocorax cyanomelas,Aves,False,-0.01296626291865588
pvttyr1,0.9348500739314329,286,35792,True,0.008063329383730888,,0,529,0.003968577831983566,False,Hemitriccus margaritaceiventer,Aves,False,
ragmac1,0.9849251199570316,106,35972,True,0.005263507831841707,,0,529,0.0008105840533971786,False,Ara chloropterus,Aves,False,
rebscy1,0.9586668214242776,201,35877,True,0.00562060484662652,,0,529,0.0011551753850653768,False,Campylorhamphus trochilirostris,Aves,False,
recfin1,0.9514520336623482,142,35936,True,0.003927520010620356,,0,529,0.0007963032112456858,False,Coryphospingus cucullatus,Aves,False,
redjun,0.9266521256940277,238,35840,True,0.007977349683642387,0.2754515599343186,7,522,0.012400680221617222,True,Gallus gallus,Aves,False,-0.6512005657597091
relser1,0.9408730537229353,194,35884,True,0.0043630097061395645,,0,529,0.0013852129923179746,False,Cariama cristata,Aves,False,
rinkin1,0.9545556296042836,251,35827,True,0.008856390602886677,,0,529,0.0012440148275345564,False,Megaceryle torquata,Aves,False,
rivwar1,0.9840578311433001,106,35972,True,0.0031878063455224037,,0,529,0.00048079725820571184,False,Myiothlypis rivularis,Aves,False,
roahaw,0.918176194033042,563,35515,True,0.01401207409799099,,0,529,0.00328851118683815,False,Rupornis magnirostris,Aves,False,
rubthr1,0.9315955579050501,626,35452,True,0.015868503600358963,,0,529,0.002763366559520364,False,Turdus rufiventris,Aves,False,
rufcac2,0.9578115614574093,37,36041,True,0.0010751372901722789,,0,529,0.000248459167778492,False,Pseudoseisura unirufa,Aves,False,
rufcas2,0.9620543266821748,71,36007,True,0.004781974479556084,,0,529,0.0010887261014431715,False,Casiornis rufus,Aves,False,
rufgna3,0.9753878481072856,171,35907,True,0.005204262211918831,,0,529,0.001664931420236826,False,Conopophaga lineata,Aves,False,
rufhor2,0.8746337324781397,542,35536,True,0.011245529167354107,0.9710626185958254,2,527,0.0026541787665337324,True,Furnarius rufus,Aves,False,0.09642888611768574
rufnig1,0.9889620944464367,266,35812,True,0.007171600591391325,,0,529,0.0027196214068681,False,Antrostomus rufus,Aves,False,
ruftho1,0.9623972834915693,109,35969,True,0.0024448144249618053,,0,529,0.0005131043726578355,False,Phacellodomus rufifrons,Aves,False,
ruftof1,0.9364157032336579,128,35950,True,0.00346004543825984,,0,529,0.005340866278856993,False,Poecilotriccus latirostris,Aves,False,
rumfly1,0.9263854653425434,311,35767,True,0.010278094559907913,,0,529,0.0020583278965204954,False,Myiozetetes cayanensis,Aves,False,
ruther1,0.9387462690273691,94,35984,True,0.0016847351798787713,0.7130681818181818,1,528,0.001412200159393251,True,Tigrisoma lineatum,Aves,False,-0.22567808720918736
rutjac1,0.9279282231490973,342,35736,True,0.010536355897784233,0.8778409090909091,1,528,0.002982711186632514,True,Galbula ruficauda,Aves,False,-0.050087314058188226
sabspa1,0.9845812891284125,73,36005,True,0.0017955013317987323,,0,529,0.0003643723903223872,False,Arremon flavirostris,Aves,False,
saffin,0.9326469354831005,662,35416,True,0.022323695942759514,,0,529,0.003953678999096155,False,Sicalis flaveola,Aves,False,
saytan1,0.9207515624315752,358,35720,True,0.009976079687476158,,0,529,0.0011251401156187057,False,Thraupis sayaca,Aves,False,
scadov1,0.9443153396043045,291,35787,True,0.0088425287976861,,0,529,0.0017466535791754723,False,Columbina squammata,Aves,False,
schpar1,0.9319201027340054,160,35918,True,0.002833613893017173,,0,529,0.0004953406169079244,False,Pionus maximiliani,Aves,False,
scther1,0.9887239802061969,109,35969,True,0.0034533413127064705,,0,529,0.00041582260746508837,False,Phaethornis eurynome,Aves,False,
shcfly1,0.9356508726891213,279,35799,True,0.010989714413881302,,0,529,0.00336923124268651,False,Myiarchus ferox,Aves,False,
shshaw,0.9599303955745104,101,35977,True,0.0029720154125243425,,0,529,0.0005241241306066513,False,Accipiter striatus,Aves,False,
shtnig1,0.9755778124882077,169,35909,True,0.0068731363862752914,,0,529,0.012800038792192936,False,Lurocalis semitorquatus,Aves,False,
sibtan2,0.934975233678954,293,35785,True,0.007772498298436403,0.9810606060606061,1,528,0.00178131356369704,True,Ramphocelus carbo,Aves,False,0.04608537238165211
