primary_label,auc_all,positive_rows_all,negative_rows_all,scored,mean_prob_all,auc_soundscape,positive_rows_soundscape,negative_rows_soundscape,mean_prob_soundscape,scored_soundscape,scientific_name,class_name,is_texture_taxon,auc_gap_sound_minus_all
fusfly1,0.9440530521856831,277,35801,True,0.01121140830218792,0.9185678073510773,3,526,0.0054640499874949455,True,Cnemotriccus fuscatus,Aves,False,-0.02548524483460579
orwpar,0.93173057008401,247,35831,True,0.005332164000719786,0.9359949302915083,3,526,0.004400503356009722,True,Amazona amazonica,Aves,False,0.004264360207498319
purjay1,0.954347758482661,101,35977,True,0.00283662392757833,0.9413814955640051,3,526,0.009155713021755219,True,Cyanocorax cyanomelas,Aves,False,-0.01296626291865588
516975,0.8854449681175492,8,36070,True,0.00011598352284636348,0.9438970990695128,7,522,0.002027296693995595,True,Sapajus cay,Mammalia,False,0.058452130951963555
67107,0.9866775357929475,19,36059,True,0.0004669769841711968,0.9454459203036053,2,527,0.0005705628427676857,True,Rhinella diptycha,Amphibia,True,-0.04123161548934218
limpki,0.9737506435624034,423,35655,True,0.010186168365180492,0.946394686907021,2,527,0.0024431829806417227,True,Aramus guarauna,Aves,False,-0.027355956655382374
47158son17,0.9973663783544023,6,36072,True,0.0002427408762741834,0.9512428298279159,6,523,0.012398788705468178,True,Insect son17,Insecta,True,-0.04612354852648648
47158son07,0.9993035149969507,4,36074,True,0.00014499614189844579,0.9550000000000001,4,525,0.008474076166749,True,Insect son07,Insecta,True,-0.04430351499695062
compot1,0.978441416108792,393,35685,True,0.012841369025409222,0.9620493358633777,2,527,0.019354380667209625,True,Nyctibius griseus,Aves,False,-0.016392080245414276
chvcon1,0.9450966361117423,146,35932,True,0.004454235080629587,0.968095238095238,4,525,0.011698726564645767,True,Conirostrum speciosum,Aves,False,0.02299860198349568
rufhor2,0.8746337324781397,542,35536,True,0.011245529167354107,0.9710626185958254,2,527,0.0026541787665337324,True,Furnarius rufus,Aves,False,0.09642888611768574
47158son13,0.9991360591360592,3,36075,True,3.522762926877476e-05,0.9756020278833967,3,526,0.0007997475331649184,True,Insect son13,Insecta,True,-0.023534031252662513
sibtan2,0.934975233678954,293,35785,True,0.007772498298436403,0.9810606060606061,1,528,0.00178131356369704,True,Ramphocelus carbo,Aves,False,0.04608537238165211
47158son19,0.9997297222376227,4,36074,True,4.3872340029338375e-05,0.9838095238095238,4,525,0.0017215925035998225,True,Insect son19,Insecta,True,-0.015920198428098886
47158son22,0.9997851757401042,2,36076,True,6.46372209303081e-05,0.9852941176470589,2,527,0.0008612542296759784,True,Insect son22,Insecta,True,-0.014491058093045295
47158son23,0.999660439073068,2,36076,True,7.300949073396623e-05,0.9852941176470589,2,527,0.002118919277563691,True,Insect son23,Insecta,True,-0.014366321426009132
47158son21,0.9997228074065861,2,36076,True,7.794434350216761e-05,0.9876660341555978,2,527,0.00125208985991776,True,Insect son21,Insecta,True,-0.012056773250988306
bufpar,0.9324915322997839,246,35832,True,0.006271383259445429,0.9886148007590132,2,527,0.005349503830075264,True,Amazona aestiva,Aves,False,0.056123268459229325
43435,0.9695611031002163,16,36062,True,0.00024436006788164377,0.990530303030303,1,528,0.001490496564656496,True,Alouatta caraya,Mammalia,False,0.020969199930086724
grekis,0.8410418496967561,1107,34971,True,0.03171006962656975,0.9962049335863378,2,527,0.015044005587697029,True,Pitangus sulphuratus,Aves,False,0.15516308388958167
plcjay1,0.9313902092272672,205,35873,True,0.004965717904269695,1.0,1,528,0.00223161606118083,True,Cyanocorax chrysops,Aves,False,0.06860979077273277
wfwduc1,0.9765691190021212,144,35934,True,0.004678675904870033,1.0,1,528,0.0014755617594346404,True,Dendrocygna viduata,Aves,False,0.023430880997878822
